"Country","Year","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Individualism","UncertaintyAvoidance","Indulgence","vis_residual"
"Finland",2018,7.632,1.305,1.592,0.874,0.681,0.202,0.393,63,59,57,1.22293904258682
"Finland",2019,7.769,1.34,1.587,0.986,0.596,0.153,0.393,63,59,57,1.27591652306694
"France",2015,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,71,86,48,0.231284556339132
"France",2016,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,71,86,48,-0.146830787540218
"France",2017,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,71,86,48,-0.26935837477077
"France",2018,6.489,1.293,1.466,0.908,0.52,0.098,0.176,71,86,48,0.108746763565061
"France",2019,6.592,1.324,1.472,1.045,0.436,0.111,0.183,71,86,48,0.137326817704601
"Germany",2015,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,67,65,40,0.285916295518375
"Germany",2016,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,67,65,40,0.241959117906693
"Germany",2017,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,67,65,40,0.102805439677081
"Germany",2018,6.965,1.34,1.474,0.861,0.586,0.273,0.28,67,65,40,0.471916523066944
"Germany",2019,6.985,1.373,1.454,0.987,0.495,0.261,0.265,67,65,40,0.412695290376778
"Greece",2015,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,35,112,50,-1.18970784037519
"Greece",2016,5.033,1.24886,0.75473,0.80029,0.05822,0,0.04127,35,112,50,-1.2412888361033
"Greece",2017,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0,0.04328977689147,35,112,50,-1.14482069459829
"Greece",2018,5.358,1.154,1.202,0.879,0.131,0,0.044,35,112,50,-0.688563801770298
"Greece",2019,5.287,1.181,1.156,0.999,0.067,0,0.034,35,112,50,-0.824381173971343
"Hong Kong",2015,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,25,29,17,-1.12960909975291
"Hong Kong",2016,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,25,29,17,-1.44487330784855
"Hong Kong",2017,5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,25,29,17,-1.52923917240347
"Hong Kong",2018,5.43,1.405,1.29,1.03,0.524,0.246,0.291,25,29,17,-1.21912529889854
"Hong Kong",2019,5.43,1.438,1.277,1.122,0.44,0.258,0.287,25,29,17,-1.2983465315887
"Hungary",2015,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,80,82,31,-1.16719853047524
"Hungary",2016,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,80,82,31,-1.11142804909679
"Hungary",2017,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,80,82,31,-1.03947750073824
"Hungary",2018,5.62,1.171,1.401,0.732,0.259,0.061,0.022,80,82,31,-0.467374739822808
"Hungary",2019,5.758,1.201,1.41,0.828,0.199,0.081,0.02,80,82,31,-0.401394042268414
"India",2015,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,48,40,26,-0.259612297175698
"India",2016,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,48,40,26,-0.64956165965028
"India",2017,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,48,40,26,-0.863061966286896
"India",2018,4.19,0.721,0.747,0.485,0.539,0.172,0.093,48,40,26,-0.817085203138715
"India",2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085,48,40,26,-1.07370707924374
"Indonesia",2015,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,14,48,38,0.134397777749945
"Indonesia",2016,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,14,48,38,-0.245329214291623
"Indonesia",2017,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,14,48,38,-0.404154383036104
"Indonesia",2018,5.093,0.899,1.215,0.522,0.538,0.484,0.018,14,48,38,-0.341399730982645
"Indonesia",2019,5.192,0.931,1.203,0.66,0.491,0.498,0.028,14,48,38,-0.319220320257958
"Iran",2015,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,41,59,40,-1.01199037793356
"Iran",2016,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,41,59,40,-1.14613236860133
"Iran",2017,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,41,59,40,-1.36146119480358
"Iran",2018,4.707,1.059,0.771,0.691,0.459,0.282,0.129,41,59,40,-1.11150267735921
"Iran",2019,4.548,1.1,0.842,0.785,0.305,0.27,0.125,41,59,40,-1.36892905736821
"Ireland",2015,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,70,35,65,0.456615122462953
"Ireland",2016,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,70,35,65,0.0696402509427987
"Ireland",2017,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,70,35,65,0.014094904723855
"Ireland",2018,6.977,1.448,1.583,0.876,0.614,0.307,0.306,70,35,65,0.224647034262762
"Ireland",2019,7.021,1.499,1.553,0.999,0.516,0.298,0.31,70,35,65,0.146214220105231
"Italy",2015,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,76,75,30,-0.331762303089169
"Italy",2016,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,76,75,30,-0.551973095985116
"Italy",2017,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,76,75,30,-0.661278567952951
"Italy",2018,6,1.264,1.501,0.946,0.281,0.137,0.028,76,75,30,-0.310634577404187
"Italy",2019,6.223,1.294,1.488,1.039,0.231,0.158,0.03,76,75,30,-0.159653879849793
"Japan",2015,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,46,92,42,-0.339814914020299
"Japan",2016,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,46,92,42,-0.668277258566237
"Japan",2017,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,46,92,42,-0.757729316924766
"Japan",2018,5.915,1.294,1.462,0.988,0.553,0.079,0.15,46,92,42,-0.467653879849792
"Japan",2019,5.886,1.327,1.419,1.088,0.445,0.069,0.14,46,92,42,-0.57587511253996
"Latvia",2015,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,70,63,13,-0.850425498971085
"Latvia",2016,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,70,63,13,-0.639916903111142
"Latvia",2017,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,70,63,13,-0.452829280312455
"Latvia",2018,5.933,1.148,1.454,0.671,0.363,0.092,0.066,70,63,13,-0.0991599412811759
"Latvia",2019,5.94,1.187,1.465,0.812,0.264,0.075,0.064,70,63,13,-0.185785034460464
"Lithuania",2015,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,60,65,16,-0.197311445851739
"Lithuania",2016,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,60,65,16,-0.510117923161426
"Lithuania",2017,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,60,65,16,-0.530064807316881
"Lithuania",2018,5.952,1.197,1.527,0.716,0.35,0.026,0.006,60,65,16,-0.197791468609
"Lithuania",2019,6.149,1.238,1.515,0.818,0.291,0.043,0.042,60,65,16,-0.0992178486179949
"Luxembourg",2015,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,60,70,56,-0.0846115439529109
"Luxembourg",2016,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,60,70,56,-0.480361510611492
"Luxembourg",2017,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,60,70,56,-0.595006812042092
"Luxembourg",2018,6.91,1.576,1.52,0.896,0.632,0.196,0.321,60,70,56,-0.14963532283849
"Luxembourg",2019,7.09,1.609,1.479,1.012,0.526,0.194,0.316,60,70,56,-0.0488565555286575
"Malaysia",2015,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,26,36,57,-0.206609052661466
"Malaysia",2016,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,26,36,57,-0.275434483245329
"Malaysia",2017,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,26,36,57,-0.291968985029587
"Malaysia",2018,6.322,1.161,1.258,0.669,0.356,0.311,0.059,26,36,57,0.258631694325728
"Malaysia",2019,5.339,1.221,1.171,0.828,0.508,0.26,0.024,26,36,57,-0.868406910565485
"Malta",2015,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,59,96,66,0.127241839876523
"Malta",2016,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,59,96,66,0.0721692281569322
"Malta",2017,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,59,96,66,0.0260427506302126
"Malta",2018,6.627,1.27,1.525,0.884,0.645,0.376,0.142,59,96,66,0.301961562106692
"Malta",2019,6.726,1.3,1.52,0.999,0.564,0.375,0.151,59,96,66,0.328942259661086
"Mexico",2015,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,30,82,97,1.46082606837606
"Mexico",2016,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,30,82,97,0.824869239935802
"Mexico",2017,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,30,82,97,0.533395629165659
"Mexico",2018,6.488,1.038,1.252,0.761,0.479,0.069,0.095,30,82,97,0.719910834352714
"Mexico",2019,6.595,1.07,1.323,0.861,0.433,0.074,0.073,30,82,97,0.750090245077399
"Morocco",2015,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,46,68,25,-0.0271900758295462
"Morocco",2016,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404,46,68,25,-0.143154142686902
"Morocco",2017,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,46,68,25,-0.149261154138931
"Morocco",2018,5.254,0.779,0.797,0.669,0.46,0.026,0.074,46,68,25,0.107677478799778
"Morocco",2019,5.208,0.801,0.782,0.782,0.418,0.036,0.076,46,68,25,0.00886332367300113
"Netherlands",2015,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,80,53,68,0.910267317527798
"Netherlands",2016,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,80,53,68,0.546604302103006
"Netherlands",2017,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,80,53,68,0.4903437687559
"Netherlands",2018,7.441,1.361,1.488,0.878,0.638,0.333,0.295,80,53,68,0.89750301135502
"Netherlands",2019,7.488,1.396,1.522,0.999,0.557,0.322,0.298,80,53,68,0.860480491835147
"New Zealand",2015,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,79,49,75,1.00854231458909
"New Zealand",2016,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,79,49,75,0.79131923011607
"New Zealand",2017,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,79,49,75,0.663179861291124
"New Zealand",2018,7.324,1.268,1.601,0.876,0.669,0.365,0.389,79,49,75,1.0037628489364
"New Zealand",2019,7.307,1.303,1.557,1.026,0.585,0.33,0.38,79,49,75,0.902740329416526
"Norway",2015,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,69,50,55,0.743239956699374
"Norway",2016,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,69,50,55,0.434907750644121
"Norway",2017,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,69,50,55,0.380227179382387
"Norway",2018,7.594,1.456,1.582,0.861,0.686,0.286,0.34,69,50,55,0.822441886943935
"Norway",2019,7.554,1.488,1.582,1.028,0.603,0.271,0.341,69,50,55,0.705621297668621
"Pakistan",2015,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,14,70,0,0.488363590464443
