"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual","Individualism","UncertaintyAvoidance","Indulgence"
"Costa Rica",7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018,"LatinAmerica",5.5876504173834,1.4843495826166,15,86,NA
"Costa Rica",7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,2016,"LatinAmerica",5.71521196381937,1.37178803618063,15,86,NA
"Croatia",5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015,"Other",5.74504648097356,0.0139535190264422,33,80,33
"Croatia",5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018,"Other",5.8154776392881,-0.494477639288098,33,80,33
"Croatia",5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017,"Other",6.04885133314942,-0.75585111189698,33,80,33
"Croatia",5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,2016,"Other",5.97059543065921,-0.482595430659214,33,80,33
"Croatia",5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,"Other",5.90226896191846,-0.47026896191846,33,80,33
"Cyprus",5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,2016,"Other",6.25718037798467,-0.711180377984672,NA,NA,70
"Cyprus",5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018,"Other",6.06283290878463,-0.300832908784633,NA,NA,70
"Cyprus",5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,2017,"Other",6.33826099860058,-0.717261185520752,NA,NA,70
"Cyprus",6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019,"Other",6.13660553302044,-0.0906055330204403,NA,NA,70
"Cyprus",5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,2015,"Other",6.01754953620224,-0.32854953620224,NA,NA,70
"Denmark",7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2015,"Nordic",6.27217357896907,1.25482642103093,74,23,70
"Denmark",7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,"Nordic",6.39697950091153,1.20302049908847,74,23,70
"Denmark",7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2017,"Nordic",6.61261907904749,0.909380756920534,74,23,70
"Denmark",7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,"Nordic",6.32754644280724,1.22745355719276,74,23,70
"Denmark",7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2016,"Nordic",6.52451934951685,1.00148065048315,74,23,70
"Ecuador",5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018,"LatinAmerica",5.32510666642655,0.647893333573452,8,67,NA
"Ecuador",6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2017,"LatinAmerica",5.56773267313091,0.440267223872257,8,67,NA
"Ecuador",5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2016,"LatinAmerica",5.50749863093426,0.468501369065745,8,67,NA
"Ecuador",6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019,"LatinAmerica",5.37501167693901,0.652988323060994,8,67,NA
"Ecuador",5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,"LatinAmerica",5.27090548544389,0.704094514556114,8,67,NA
"Egypt",4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393,2016,"Other",5.4660340765476,-1.1040340765476,NA,NA,4
"Egypt",4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019,"Other",5.37718146000477,-1.21118146000476,NA,NA,4
"Egypt",4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015,"Other",5.30948422835308,-1.11548422835308,NA,NA,4
"Egypt",4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018,"Other",5.31642753416351,-0.897427534163512,NA,NA,4
"Egypt",4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017,"Other",5.54360774302906,-0.80860760951466,NA,NA,4
"El Salvador",6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019,"LatinAmerica",5.11897727517944,1.13402272482056,19,94,89
"El Salvador",6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018,"LatinAmerica",5.14501467196854,1.02198532803146,19,94,89
"El Salvador",6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016,"LatinAmerica",5.29190898552043,0.776091014479566,19,94,89
"El Salvador",6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2017,"LatinAmerica",5.37020451350998,0.632795269052275,19,94,89
"El Salvador",6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,2015,"LatinAmerica",5.05505546606217,1.07494453393783,19,94,89
"Estonia",5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,"Other",6.0801911733107,-0.187191173310705,60,60,16
"Estonia",5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,2017,"Other",6.26219114518254,-0.651191084147383,60,60,16
"Estonia",5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015,"Other",5.89519546912409,-0.466195469124086,60,60,16
"Estonia",5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,2016,"Other",6.17271072323467,-0.655710723234671,60,60,16
"Estonia",5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018,"Other",5.99990919987762,-0.260909199877619,60,60,16
"Ethiopia",4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2017,"SubSaharanAfrica",4.13223337420494,0.327766663942033,NA,NA,46
"Ethiopia",4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015,"SubSaharanAfrica",3.81001224509896,0.701987754901039,NA,NA,46
"Ethiopia",4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019,"SubSaharanAfrica",4.12521663106178,0.160783368938219,NA,NA,46
"Ethiopia",4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018,"SubSaharanAfrica",4.06446270522053,0.285537294779473,NA,NA,46
"Ethiopia",4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,2016,"SubSaharanAfrica",4.03154709611296,0.476452903887038,NA,NA,46
"Finland",7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,"Nordic",6.30367882908389,1.46532117091611,63,59,57
"Finland",7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015,"Nordic",6.19573212156237,1.21026787843762,63,59,57
"Finland",7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2017,"Nordic",6.52840743839122,0.940592424279682,63,59,57
"Finland",7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,"Nordic",6.22773642178232,1.40426357821768,63,59,57
"Finland",7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016,"Nordic",6.44684111576267,0.966158884237328,63,59,57
"France",6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2017,"WesternEurope",6.50096301702521,-0.0589631047632464,71,86,48
"France",6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2015,"WesternEurope",6.16867492673236,0.406325073267641,71,86,48
"France",6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,"WesternEurope",6.26896230003174,0.323037699968255,71,86,48
"France",6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018,"WesternEurope",6.20169902499321,0.287300975006787,71,86,48
"France",6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2016,"WesternEurope",6.42275652373275,0.0552434762672531,71,86,48
"Georgia",4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015,"Other",5.00593157745339,-0.708931577453388,NA,NA,32
"Georgia",4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018,"Other",5.24699447605922,-0.906994476059221,NA,NA,32
"Georgia",4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,2016,"Other",5.21427414742757,-0.962274147427574,NA,NA,32
"Georgia",4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,2017,"Other",5.4587927818933,-1.17279300696044,NA,NA,32
"Georgia",4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019,"Other",5.31859731722927,-0.79959731722927,NA,NA,32
