"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Azerbaijan",5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015,"Other",5.61778870416679,-0.405788704166789
"Pakistan",5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,2015,"Other",4.68812345181166,0.505876548188343
"Jordan",5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015,"MiddleEast",5.3532704506201,-0.1612704506201
"Montenegro",5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2015,"Other",5.51036274458106,-0.318362744581057
"China",5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015,"EastAsia",5.3275368234602,-0.187536823460198
"Zambia",5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015,"SubSaharanAfrica",4.41679207943849,0.712207920561514
"Romania",5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,2015,"Other",5.66022966093304,-0.536229660933037
"Serbia",5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2015,"Other",5.39351992648993,-0.270519926489931
"Portugal",5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,2015,"WesternEurope",5.91292259677134,-0.810922596771338
"Latvia",5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015,"Other",5.81139844712447,-0.713398447124471
"Philippines",5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,2015,"Other",4.92656091290792,0.146439087092079
"Somaliland region",5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2015,"Other",3.80510853537034,1.25189146462966
"Morocco",5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2015,"Other",4.99050441985584,0.0224955801441586
"Macedonia",5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,2015,"Other",5.3891369646971,-0.382136964697098
"Mozambique",4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015,"SubSaharanAfrica",3.57643509807,1.39456490193
"Albania",4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,2015,"Other",5.30269280735726,-0.343692807357256
"Bosnia and Herzegovina",4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2015,"Other",5.20192808178341,-0.252928081783406
