"Country.or.region","Score","predicted_score","residual"
"Spain",6.354,6.19533044706797,0.158669552932025
"Vietnam",5.175,5.01688309390815,0.158116906091847
"Ethiopia",4.286,4.14115616174352,0.144843838256485
"Mali",4.39,4.24710830909183,0.142891690908171
"Romania",6.07,5.9272066456151,0.142793354384903
"Trinidad & Tobago",6.192,6.0764045673913,0.115595432608705
"Slovakia",6.198,6.10883889821221,0.0891611017877931
"Togo",4.085,4.00925654973847,0.0757434502615295
"Taiwan",6.446,6.3726381222223,0.0733618777777032
"Morocco",5.208,5.1466204171918,0.0613795828081969
"Lithuania",6.149,6.09154058844105,0.0574594115589457
"Uganda",4.189,4.13250700685794,0.0564929931420624
"Mauritius",5.888,5.83639051931654,0.0516094806834575
"Cambodia",4.7,4.65578087743533,0.044219122564674
"Serbia",5.603,5.58556502763482,0.017434972365181
"Italy",6.223,6.21262875683913,0.010371243160872
"Kenya",4.509,4.52171897670889,-0.0127189767088876
"Slovenia",6.118,6.13478636286894,-0.0167863628689373
"Comoros",3.973,4.00709426101708,-0.034094261017076
"Latvia",5.94,5.98126386364995,-0.0412638636499514
"Congo (Brazzaville)",4.812,4.86984746085335,-0.057847460853349
"Bosnia and Herzegovina",5.386,5.45798999307256,-0.0719899930725632
"Saudi Arabia",6.375,6.44831822747109,-0.0733182274710922
"Madagascar",3.933,4.00709426101708,-0.0740942610170761
"Bhutan",5.082,5.17256788184853,-0.0905678818485329
"Cyprus",6.046,6.14559780647591,-0.0995978064759084
"Palestinian Territories",4.696,4.83525084131104,-0.139250841311043
"Kazakhstan",5.809,5.95099182155043,-0.141991821550433
"Libya",5.525,5.67205657649059,-0.147056576490585
"Mauritania",4.49,4.64713172254975,-0.15713172254975
"Bahrain",6.199,6.35966438989393,-0.160664389893932
"Montenegro",5.523,5.68719259754034,-0.164192597540345
"Bangladesh",4.456,4.6298334127786,-0.173833412778596
"Mongolia",5.285,5.46447685923675,-0.179476859236745
"Dominican Republic",5.425,5.60935020357015,-0.184350203570155
"Estonia",5.893,6.08937829971966,-0.196378299719661
"Indonesia",5.192,5.42771795097304,-0.235717950973044
"Hungary",5.758,6.01153590574947,-0.25353590574947
"North Macedonia",5.274,5.54015696448554,-0.266156964485542
"Laos",4.796,5.06661573450022,-0.270615734500218
"Jordan",4.906,5.22446281116199,-0.318462811161993
"Russia",5.648,5.97261470876438,-0.324614708764376
"South Korea",5.895,6.22776477788889,-0.332764777888888
"Lebanon",5.197,5.54880611937112,-0.351806119371118
"Portugal",5.693,6.05478168017735,-0.361781680177354
"Algeria",5.211,5.58124045019203,-0.37024045019203
"Central African Republic",3.083,3.47084665811132,-0.387846658111322
"Japan",5.886,6.28398428464514,-0.397984284645135
"Belarus",5.323,5.72178921708265,-0.398789217082651
"Malawi",3.41,3.82762429714136,-0.41762429714136
"Northern Cyprus",5.718,6.14559780647591,-0.427597806475909
"Turkmenistan",5.247,5.68935488626174,-0.442354886261739
"China",5.191,5.63962224566967,-0.448622245669673
"Azerbaijan",5.208,5.66989428776919,-0.461894287769191
"Croatia",5.432,5.91207062456534,-0.480070624565338
"Haiti",3.597,4.11304640836539,-0.51604640836539
"Zimbabwe",3.663,4.20602482338534,-0.54302482338534
"Singapore",6.262,6.81374502138671,-0.551745021386707
"Zambia",4.107,4.6644300323209,-0.557430032320903
"Myanmar",4.36,4.94985214354493,-0.589852143544933
"Turkey",5.373,5.97261470876438,-0.599614708764375
"Kuwait",6.021,6.65806023344633,-0.637060233446326
"Yemen",3.38,4.0352040143952,-0.6552040143952
"Lesotho",3.802,4.47198633611682,-0.669986336116823
"Namibia",4.639,5.31527893746055,-0.676278937460547
"Greece",5.287,5.96829013132159,-0.681290131321587
"Qatar",6.374,7.05592135818285,-0.681921358182853
"Armenia",4.559,5.25257256454012,-0.693572564540117
"Malaysia",5.339,6.05478168017735,-0.715781680177353
"Albania",4.719,5.46231457051535,-0.743314570515351
"Bulgaria",5.011,5.77584643511751,-0.764846435117506
"South Africa",4.722,5.49042432389348,-0.768424323893475
"Venezuela",4.707,5.49042432389348,-0.783424323893476
"Georgia",4.519,5.33041495851031,-0.811414958510307
"Ukraine",4.332,5.18770390289829,-0.855703902898292
"Rwanda",3.334,4.19088880233558,-0.85688880233558
"Gabon",4.799,5.70016632986871,-0.901166329868709
"Tunisia",4.461,5.4060950637591,-0.945095063759103
"Swaziland",4.212,5.16824330440574,-0.956243304405745
"Afghanistan",3.203,4.17142820384303,-0.968428203843033
"India",4.015,5.04715513600767,-1.03215513600767
"Hong Kong",5.43,6.52399833271989,-1.09399833271989
"Sri Lanka",4.366,5.46663914795814,-1.10063914795814
"Tanzania",3.231,4.4438765827387,-1.2128765827387
"Egypt",4.166,5.38879675398795,-1.22279675398795
"South Sudan",2.853,4.07628750010169,-1.22328750010169
"Iraq",4.437,5.66989428776919,-1.23289428776919
"Iran",4.548,5.79314474488866,-1.24514474488866
"Syria",3.462,4.75308386989806,-1.29108386989806
"Botswana",3.488,5.6655697103264,-2.1775697103264
